SH,DOD_SOL,DOD_MOL,DOD_NAN,SOL_SIL,SOL_MOL,SIL_MOL,SIL_NAN,MOL_NAN,SOL_NAN,SIL_DOD,d_DOD_SIL,rdf_peaks,rdf_dist,Frac_det,Surf_length,Nano_hydro
50,-3210.429975,-31.93411753,-310.4731171,-59995.816,-48115.84957,16054.22136,-44829.2371,-934.4448426,-3500.787839,-1763.843285,73.42475456,2.036,0.468,0.65,6,25
50,-3062.900685,-9.988129726,-233.6883678,-59001.29837,-48924.67922,16221.46521,-35935.67805,-356.696674,-3014.394852,-1815.213177,22.054862,2.247,0.476,0.62,6,50
50,-2896.204434,-5.384595782,-521.6194317,-58667.77257,-49208.62473,16005.7298,-27190.88696,-7.256108879,-2817.155651,-2192.967865,-355.6998253,2.397,0.48,0.51,6,75
50,-2977.193321,-24.86990565,-524.3252766,-59553.04689,-49197.89355,16370.7424,-18796.15711,-0.336284161,-2546.189657,-1983.452923,-146.1848838,2.383,0.488,0.58,6,100
75,-2825.957264,-928.5615414,-3.761735121,-11708.92212,-8442.367731,-1771.672897,-53651.27232,-484.3159666,-4514.019838,-3433.851992,689.8947105,4.385,0.476,0.02,3,0
75,-3103.577683,-944.4936603,-111.7790227,-10653.10364,-8589.779563,-1790.690558,-44904.19878,-336.5176648,-3766.407079,-4005.500674,118.2460288,4.597,0.482,0.2,3,25
75,-3194.927704,-1330.318541,-151.2315461,-10212.78763,-8165.237951,-2079.608459,-35806.18291,-371.569021,-2954.465542,-4021.255557,102.4911457,4.704,0.468,0.15,3,50
75,-3134.00685,-582.0695054,-86.4649492,-10762.62332,-8044.648914,-1872.906028,-27102.68378,-538.7632781,-2644.829644,-3861.511006,262.2356968,4.504,0.484,0.12,3,75
75,-3249.215977,-900.2265745,-9.591999952,-11153.49335,-8024.923927,-1903.731608,-19010.88757,-743.5055136,-2251.927903,-3779.606724,344.139979,4.569,0.474,0.1,3,100
75,-3227.185558,-592.7808128,-14.36125116,-11107.62127,-8264.871113,-1518.241247,-53836.1379,-539.9357046,-4506.027626,-3955.040735,168.705968,4.643,0.478,0.2,4,0
75,-3105.462915,-1387.295081,-70.41966531,-10484.77863,-7571.221953,-2059.02523,-44814.56013,-498.1479858,-3976.5307,-3968.370867,155.3758355,4.606,0.474,0.11,4,25
75,-3107.245975,-1234.816689,-61.62599051,-9914.49183,-7712.083532,-1873.42033,-35803.92238,-531.0166732,-3288.189876,-4029.819323,93.92737984,4.681,0.49,0.09,4,50
75,-3069.482077,-994.6499403,-187.5981216,-10276.11126,-7912.712774,-1907.141716,-27382.91088,-424.8955095,-2634.833428,-3992.689168,131.0575345,4.527,0.48,0.08,4,75
75,-2773.960791,-1034.48249,-357.2226203,-11407.17132,-7978.188325,-1435.611718,-18717.76275,-616.8478311,-1816.404014,-3593.183891,530.5628115,4.514,0.492,0.02,4,100
75,-3006.746705,-5.155844016,-35.62874602,-12222.46493,-45726.07291,18164.54784,-53828.30508,-2021.18626,-3674.134326,-3719.901023,403.8456795,4.348,0.496,0.12,5,0
